,TIME,CAP,TEX,CAN,LIS,SAL,STO,TAL,VES,REY,LON,SIC,KK,LAU,SPL,PET
3173,11:52:53,4.51153,16.1203,23.853,-14.71,8.04411,-50.1271,10.4084,-115.970814,-0.633743,-28.494,2.59032,29.2899,26.9994,23.6204,29.5734
3174,11:52:54,6.32074,14.9539,16.335,-11.902,7.65798,-51.6032,9.79679,-130.837902,0.895047,-26.7325,2.59217,27.6648,27.2112,22.1566,29.1318
3175,11:52:55,6.41661,14.5076,8.381,-10.082,9.39367,-52.8963,9.736,-129.779398,1.7993,-23.8329,1.90331,26.8775,27.3923,21.5354,29.2953
3176,11:52:56,5.60622,13.7976,1.477,-13.107,10.1969,-51.8715,10.0359,-113.219046,3.21691,-20.4505,0.843673,26.2924,26.5018,21.737,29.2028
3177,11:52:57,4.1967,13.8135,-5.188,-17.238,11.0377,-50.2645,8.3817,-86.128774,4.33666,-17.3914,1.75331,28.1023,25.1376,22.3886,28.3948
3178,11:52:58,3.05469,14.9335,-17.22,-13.308,11.2852,-48.76,6.3024,-72.733422,8.51901,-13.9289,1.45015,29.5167,24.2784,22.1653,26.819
3179,11:52:59,1.15149,15.3777,-34.803,-9.679,11.9846,-48.7675,6.56195,-70.72384,11.6529,-10.9901,1.03594,30.62,24.2218,22.4246,26.5629
3180,11:53:00,0.002773,15.1445,-51.576,-13.532,11.366,-47.379,4.81473,-68.126733,15.4452,-8.21361,-0.292063,30.5629,23.3336,23.1918,26.8019
3181,11:53:01,-1.38227,15.2277,-60.658,-16.963,11.0998,-45.8955,3.99714,-76.688164,17.2496,-6.10956,-2.33963,29.5879,22.1239,24.3538,26.9045
3182,11:53:02,-2.55138,16.1124,-56.496,-14.083,11.9373,-45.3587,3.32371,-85.249595,19.61,-5.07236,-2.7219,29.8762,20.7678,25.415,26.6946
3183,11:53:03,-3.86599,16.9682,-47.322,-13.587,10.6199,-45.0021,2.56571,-93.811026,18.6935,-5.89342,-3.19382,30.8418,19.6555,25.9798,26.1196
3184,11:53:04,-6.24007,16.9487,-39.8,-12.664,9.56618,-46.3216,1.55565,-109.574893,18.9381,-9.22213,-3.16058,32.4818,19.4014,26.8253,25.3749
3185,11:53:05,-9.50107,16.895,-37.13,-14.789,8.14417,-48.7717,0.261547,-107.899928,18.9011,-12.5236,-2.24699,33.2278,19.1572,26.7784,24.2761
3186,11:53:06,-11.5696,16.2493,-37.959,-17.977,6.62965,-49.7037,-0.656108,-106.653423,18.5972,-15.4053,-1.11458,32.6153,19.3712,26.2871,22.8644
3187,11:53:07,-13.1619,15.3211,-46.663,-13.644,3.91501,-50.6767,-1.16225,-104.257802,18.2831,-19.4061,0.133301,32.3233,20.7922,26.0261,22.691
3188,11:53:08,-16.1719,14.8017,-53.815,-10.627,1.31607,-51.325,-1.7787,-107.021666,17.9223,-22.2453,-0.124974,31.7656,22.5962,27.0525,21.8452
3189,11:53:09,-19.6222,14.981,-57.188,-11.494,-0.902106,-51.7006,-2.21781,-109.78553,16.5995,-24.7398,-0.146439,31.1422,24.7617,28.0202,21.1047
3190,11:53:10,-23.6031,14.8352,-59.559,-14.671,-1.24666,-52.8838,-1.84082,-112.549394,14.0359,-26.2058,-0.296785,28.7477,24.3799,28.4912,19.0425
3191,11:53:11,-25.1496,14.8196,-58.7,-14.772,-3.91938,-53.2354,-2.42295,-119.638763,11.0346,-27.6662,0.657988,27.3291,25.7882,29.877,17.6524
3192,11:53:12,-27.3379,14.8222,-55.473,-10.812,-4.6174,-55.0241,-1.89958,-127.934417,8.57421,-28.5321,2.48162,28.0526,25.6665,32.2181,16.7413
3193,11:53:13,-30.119,14.1532,-52.2,-8.252,-5.52118,-56.6518,-1.92358,-130.343945,5.66826,-29.9712,1.59289,30.0768,26.65,34.2712,17.0715
3194,11:53:14,-33.6513,13.4601,-51.147,-13.483,-5.82937,-57.6271,-2.6055,-131.902701,2.52916,-32.3848,0.318703,31.4036,27.0997,36.2892,19.2095
3195,11:53:15,-37.6248,12.7351,-46.449,-11.183,-7.52652,-57.1858,-3.67513,-135.14545,-0.720985,-34.9557,-1.51209,32.304,28.062,37.0063,20.5943
3196,11:53:16,-41.0754,12.0574,-42.029,-7.689,-8.03437,-58.3938,-2.72928,-134.93482,-5.44499,-34.5308,-5.02234,32.5926,28.7115,37.443,19.6307
3197,11:53:17,-44.8463,11.8947,-40.083,-7.016,-8.44225,-59.1238,-0.98173,-121.045404,-9.99435,-31.2212,-7.82059,33.023,28.3155,37.9223,18.7117
3198,11:53:18,-49.9985,11.0005,-42.863,-8.031,-9.4261,-60.7389,1.69752,-108.117199,-15.2548,-27.4021,-9.45799,31.437,26.3459,39.1393,17.4911
3199,11:53:19,-53.2443,10.6118,-51.016,-9.841,-11.7885,-62.4789,1.85761,-113.67777,-21.361,-26.2898,-8.34408,28.7042,23.3837,40.5149,18.204
3200,11:53:20,-57.9826,11.3785,-61.366,-7.492,-12.3193,-63.2525,1.2034,-124.343456,-26.5849,-25.7331,-8.32529,26.5297,21.3974,41.8016,20.6626
3201,11:53:21,-62.0377,12.4986,-71.392,-5.369,-12.9227,-63.0436,0.90141,-150.529356,-30.2879,-26.0839,-8.54431,27.8072,19.4763,41.1957,21.8612
3202,11:53:22,-66.4729,13.7967,-77.475,-4.679,-11.4698,-63.9226,0.029834,-161.052754,-33.5103,-26.9252,-10.3443,30.1906,20.3767,39.5956,20.793
3203,11:53:23,-71.2571,15.17,-81.988,-2.566,-12.3209,-64.3485,0.62669,-171.828474,-37.04,-27.6574,-13.0078,31.3367,17.9539,37.0392,19.9104
